ticker,earnings_date,t0,ret_1d,label_1d,ret_3d,label_3d
AAPL,2020-04-30,2020-04-30,-0.01623027099312627,0,0.012716506449713358,1
AAPL,2020-07-30,2020-07-30,0.09956342112026732,1,0.13110467373111723,1
AAPL,2020-10-29,2020-10-29,-0.057648147823435456,0,-0.043238519897942744,0
AAPL,2021-01-27,2021-01-27,-0.03561186639530615,0,-0.05736563597157669,0
AAPL,2021-04-28,2021-04-28,-0.0007489773251944452,0,-0.007816305347913007,0
AAPL,2021-07-27,2021-07-27,-0.01227097744892902,0,-0.006219476165829044,0
AAPL,2021-10-28,2021-10-28,-0.018322597210680282,0,-0.016854836252958486,0
AAPL,2022-01-27,2022-01-27,0.06745089163673879,1,0.09226803670028902,1
AAPL,2022-04-28,2022-04-28,-0.03729172106001241,0,-0.025750412860891872,0
AAPL,2022-07-28,2022-07-28,0.03226711301489478,1,0.01676377053368125,1
AAPL,2022-10-27,2022-10-27,0.07283446822595359,1,0.03960557695638636,1
AAPL,2023-02-02,2023-02-02,0.024107166782525294,1,0.025077334504674312,1
AAPL,2023-05-04,2023-05-04,0.04585901080635303,1,0.03543442571827206,1
AAPL,2023-08-03,2023-08-03,-0.04921119346437542,0,-0.06131776278104862,0
AAPL,2023-11-02,2023-11-02,-0.0051945376934395895,0,0.023652275137387744,1
AAPL,2024-02-01,2024-02-01,-0.005419651860173288,0,0.012973299597313349,1
MSFT,2020-04-29,2020-04-29,0.009982048180644378,1,0.007915374097198169,1
MSFT,2020-07-22,2020-07-22,-0.044468693285574956,0,-0.03802181419051899,0
MSFT,2020-10-28,2020-10-28,0.010014738805366163,1,-0.001728373221647316,0
MSFT,2021-01-27,2021-01-27,0.025561394185009627,1,0.02857029585782165,1
MSFT,2021-04-28,2021-04-28,-0.008085708587298429,0,-0.010663159977947152,0
MSFT,2021-07-27,2021-07-27,-0.0011173800263709205,0,-0.0057045598682936155,0
MSFT,2021-10-27,2021-10-27,0.0036446883406107897,1,0.01900335475354166,1
MSFT,2022-01-25,2022-01-25,0.028094720547720057,1,0.06628339657998619,1
MSFT,2022-04-26,2022-04-26,0.046987769090014175,1,0.026656408699703323,1
MSFT,2022-07-26,2022-07-26,0.06471195222278393,1,0.10839695790151965,1
MSFT,2022-10-25,2022-10-25,-0.08029542911026559,0,-0.060816653042331026,0
MSFT,2023-01-24,2023-01-24,-0.005925548753225577,0,0.024970815465798112,1
MSFT,2023-04-25,2023-04-25,0.06993157081877975,1,0.1093969858965034,1
MSFT,2023-07-25,2023-07-25,-0.03836406765332769,0,-0.03658941149780111,0
MSFT,2023-10-25,2023-10-25,-0.03823613331344411,0,-0.009911851102570216,0
MSFT,2024-01-30,2024-01-30,-0.027315992214388386,0,0.006416270142315777,1
JPM,2020-04-14,2020-04-14,-0.050576970437438355,0,-0.00335659739007943,0
JPM,2020-07-14,2020-07-14,0.015358317339216335,1,-0.0005091147378412861,0
JPM,2020-10-13,2020-10-13,-0.0055721243874646545,0,0.007217291533158733,1
JPM,2021-01-15,2021-01-15,-0.004337419583400392,0,-0.02786617621290589,0
JPM,2021-04-14,2021-04-14,0.006328741698151906,1,0.00947787222418741,1
JPM,2021-07-13,2021-07-13,-0.00341070428373988,0,-0.02432141240571631,0
JPM,2021-10-13,2021-10-13,0.015225260738623023,1,0.03389112524746812,1
JPM,2022-01-14,2022-01-14,-0.04283244960167179,0,-0.06698635167136416,0
JPM,2022-04-13,2022-04-13,-0.009312510182441832,0,0.02956644354989749,1
JPM,2022-07-14,2022-07-14,0.044813932132353525,1,0.0589674873426959,1
JPM,2022-10-14,2022-10-14,0.04114217741891149,1,0.04673651563424666,1
JPM,2023-01-13,2023-01-13,-0.01557413383635772,0,-0.05949334199473429,0
JPM,2023-04-14,2023-04-14,0.007897796167817514,1,0.017789367134121877,1
JPM,2023-07-14,2023-07-14,0.023817873318819138,1,0.029473899853012967,1
JPM,2023-10-13,2023-10-13,-0.00101389455722141,0,-0.01422214090450249,0
JPM,2024-01-12,2024-01-12,-0.006290156119625553,0,-0.009689018652214285,0
JNJ,2020-04-14,2020-04-14,0.01110008605787438,1,0.04019982039078018,1
JNJ,2020-07-16,2020-07-16,0.0006699500788266914,1,0.003277740885409823,1
JNJ,2020-10-13,2020-10-13,-0.0017545142097363966,0,-0.0017545142097364717,0
JNJ,2021-01-26,2021-01-26,-0.015368446083691624,0,-0.044070283644916115,0
JNJ,2021-04-20,2021-04-20,0.0006602736459611609,1,-0.0057832010838743605,0
JNJ,2021-07-20,2021-07-20,0.006154912674517632,1,0.019633661049226994,1
JNJ,2021-10-19,2021-10-19,-0.0005490614565613591,0,-0.0009157320918714196,0
JNJ,2022-01-25,2022-01-25,0.004464306956165628,1,0.024513432247704657,1
JNJ,2022-04-19,2022-04-19,0.004414498162895277,1,-0.008447000544111799,0
JNJ,2022-07-19,2022-07-19,-0.0057240693081363914,0,0.0025015258437603776,1
JNJ,2022-10-18,2022-10-18,-0.00798316692481893,0,0.01613322978714224,1
JNJ,2023-01-24,2023-01-24,0.007104568443842384,1,-0.0004752967329157993,0
JNJ,2023-04-18,2023-04-18,0.009395983939378327,1,0.010380070628324729,1
JNJ,2023-07-18,2023-07-18,-0.0020138230297577315,0,0.06763409510355742,1
JNJ,2023-10-17,2023-10-17,-0.02176126783829774,0,-0.01999498697968192,0
JNJ,2024-01-23,2024-01-23,-0.005333082500201023,0,-0.001941782198587272,0
NVDA,2020-05-21,2020-05-21,0.02820147027540508,1,-0.028903217325168432,0
NVDA,2020-08-19,2020-08-19,0.0002059072500476838,1,0.04681297175663475,1
NVDA,2020-11-18,2020-11-18,0.0008559614785301266,1,-0.021736890666038955,0
NVDA,2021-02-24,2021-02-24,-0.08575177348159346,0,-0.04639011589324518,0
NVDA,2021-05-26,2021-05-26,-0.013595358597900892,0,0.03532406090758457,1
NVDA,2021-08-18,2021-08-18,0.03903923833664016,1,0.14258969077944142,1
NVDA,2021-11-17,2021-11-17,0.0792722749894113,1,0.08810438527003563,1
NVDA,2022-02-16,2022-02-16,-0.07860076603777459,0,-0.1252510148459094,0
NVDA,2022-05-25,2022-05-25,0.050317755725953095,1,0.09528351100702173,1
NVDA,2022-08-24,2022-08-24,0.03933896175895002,1,-0.08611438897797209,0
NVDA,2022-11-16,2022-11-16,-0.0147533416984539,0,-0.037984620546290024,0
NVDA,2023-02-22,2023-02-22,0.13121575991408982,1,0.12430378494821612,1
NVDA,2023-05-24,2023-05-24,0.21808804822278305,1,0.2726789455584035,1
NVDA,2023-08-23,2023-08-23,0.000996893900881185,1,-0.005981839831834045,0
NVDA,2023-11-21,2023-11-21,-0.024894985887908026,0,-0.03467226665772851,0
NVDA,2024-02-21,2024-02-21,0.15186985858142857,1,0.15889909812919129,1
